ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
318,28.748714,-81.255393,1.5,true,false,89.337436,0
319,-47.530509,-228.145145,1.5,false,false,234.225546,0
320,-166.236575,110.763733,1.5,true,false,201.13541,0
321,91.763801,135.488977,1.5,true,false,165.318203,0
322,114.359832,88.167613,1.5,true,false,146.300886,0
323,18.253251,-100.934561,1.5,true,false,105.229354,0
324,13.94423,257.554482,1.5,true,false,259.000006,0
325,248.723088,-127.24506,1.5,true,false,280.368918,0
326,222.897826,-121.139372,1.5,true,false,254.77527,0
327,22.237254,-22.745867,1.5,true,false,39.548956,0
328,208.946989,121.948294,1.5,false,false,243.06888,0
329,8.747611,141.445532,1.5,true,false,143.650998,0
330,-48.022723,236.366552,1.5,true,false,242.337737,0
331,-173.690394,-116.025935,1.5,true,false,210.196624,0
332,-34.855415,118.532693,1.5,true,false,125.766249,0
333,171.702615,13.985855,1.5,true,false,173.866737,0
334,81.304627,-68.709479,1.5,true,false,109.012315,0
335,-125.65115,104.881132,1.5,false,false,165.34967,0
336,-244.353578,-28.446327,1.5,true,false,247.123683,0
337,39.665966,-123.916632,1.5,true,false,132.215622,0
338,-201.762733,-137.723811,1.5,true,false,245.414545,0
339,-56.670449,-3.433808,1.5,false,false,61.445755,0
340,-90.962213,-146.723298,1.5,true,false,174.224282,0
341,202.802382,-12.4352,1.5,true,false,204.537748,0
342,208.086141,118.349065,1.5,true,false,240.538132,0
343,22.999245,106.399032,1.5,true,false,111.36413,0
344,-169.110271,-117.947513,1.5,false,false,207.514215,0
345,135.064292,-63.613038,1.5,true,false,151.133158,0
346,1.285857,-190.729432,1.5,false,false,192.176012,0
347,165.843689,130.25636,1.5,true,false,212.186471,0
348,-194.074505,-69.274351,1.5,true,false,207.403228,0
349,-122.103204,146.790235,1.5,true,false,192.376754,0
350,-112.874211,-185.655208,1.5,true,false,218.542202,0
351,-241.270678,9.954143,1.5,true,false,242.616724,0
352,-156.845267,-58.05243,1.5,true,false,168.886863,0
353,-178.413633,-53.784465,1.5,true,false,187.820242,0
354,-180.165466,-117.514243,1.5,true,false,216.38263,0
355,-12.726209,37.201745,1.5,true,false,45.805854,0
356,-209.452995,143.770384,1.5,true,false,255.13277,0
357,48.126928,95.268418,1.5,true,false,109.291,0
358,-9.737619,16.246467,1.5,false,false,30.18309,0
359,-208.542017,6.301314,1.5,true,false,209.956494,0
360,-177.86564,-65.464427,1.5,true,false,190.981746,0
361,205.258137,65.233233,1.5,false,false,216.653012,0
362,108.822855,-173.896792,1.5,true,false,206.481859,0
363,45.810006,115.54037,1.5,true,false,126.492623,0
364,20.784329,-0.20829,1.5,false,false,31.373265,0
365,-63.569202,163.922525,1.5,true,false,177.380629,0
366,-26.272594,-205.921832,1.5,false,false,208.916969,0
367,6.842932,156.227403,1.5,true,false,158.133099,0
368,23.830227,240.837443,1.5,true,false,243.151812,0
369,-221.30533,-7.024657,1.5,false,false,222.660381,0
370,164.951125,41.048774,1.5,true,false,171.598734,0
371,243.282582,148.023909,1.5,true,false,285.744191,0
372,-120.245245,93.581603,1.5,true,false,154.170961,0
373,183.909464,-171.553688,1.5,true,false,252.597722,0
374,215.152935,-105.842441,1.5,true,false,240.926665,0
375,6.828887,189.011647,1.5,true,false,190.589314,0
376,-24.472092,-235.48099,1.5,true,false,237.912652,0
377,-99.919855,-221.806794,1.5,true,false,244.406386,0
378,231.772709,38.624662,1.5,true,false,236.141278,0
379,73.942429,-241.961773,1.5,true,false,254.096896,0
380,161.422775,77.243303,1.5,false,false,180.488476,0
381,-93.320561,70.461689,1.5,true,false,119.27207,0
382,-86.046266,204.847386,1.5,true,false,223.424845,0
383,-223.001643,156.306574,1.5,false,false,273.33812,0
